City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Ribeira Grande,PT,2021-04-18 15:50:20,38.5167,-28.7,66.2,82,20,10.36,few clouds
61,New Norfolk,AU,2021-04-18 15:50:20,-42.7826,147.0587,54.0,73,100,1.99,overcast clouds
62,Yar-Sale,RU,2021-04-18 15:50:21,66.8333,70.8333,-3.28,98,80,8.88,broken clouds
63,Labuhan,ID,2021-04-18 15:50:21,-6.8844,112.2051,78.22,80,100,2.51,overcast clouds
64,Victoria,HK,2021-04-18 15:50:21,22.2855,114.1577,73.0,78,100,23.06,overcast clouds
65,Castro,BR,2021-04-18 15:50:22,-24.7911,-50.0119,67.12,68,98,2.75,overcast clouds
66,Yantal,RU,2021-04-18 15:50:22,56.8471,105.2542,22.17,85,100,3.18,overcast clouds
67,Torbay,CA,2021-04-18 15:50:22,47.6666,-52.7314,39.0,100,90,20.71,light rain
68,Jamestown,US,2021-04-18 15:45:24,42.097,-79.2353,53.01,57,40,9.22,scattered clouds
69,Aklavik,CA,2021-04-18 15:50:23,68.2191,-135.0107,26.6,80,1,4.61,clear sky
70,Preobrazheniye,RU,2021-04-18 15:50:23,42.9019,133.9064,42.98,70,5,9.31,clear sky
71,Hobart,AU,2021-04-18 15:47:57,-42.8794,147.3294,55.4,62,80,16.11,broken clouds
72,Acari,PE,2021-04-18 15:50:24,-15.4311,-74.6158,80.49,56,22,8.55,few clouds
73,Mareeba,AU,2021-04-18 15:50:24,-17.0,145.4333,75.2,94,90,9.22,overcast clouds
74,Khatanga,RU,2021-04-18 15:50:24,71.9667,102.5,0.59,95,100,8.52,overcast clouds
75,Beringovskiy,RU,2021-04-18 15:50:24,63.05,179.3167,26.71,98,100,4.85,overcast clouds
76,Gidam,IN,2021-04-18 15:50:25,18.9833,81.4,85.05,36,49,3.04,scattered clouds
77,Hamilton,US,2021-04-18 15:50:25,39.1834,-84.5333,59.0,50,1,5.77,clear sky
78,Lethem,GY,2021-04-18 15:50:25,3.3803,-59.7968,86.0,66,40,13.8,scattered clouds
79,Mount Isa,AU,2021-04-18 15:50:26,-20.7333,139.5,69.8,23,0,14.97,clear sky
80,Saskylakh,RU,2021-04-18 15:50:26,71.9167,114.0833,4.15,93,98,10.02,overcast clouds
81,Bambanglipuro,ID,2021-04-18 15:50:26,-7.95,110.2833,76.28,88,43,4.21,scattered clouds
82,Saint George,US,2021-04-18 15:48:57,37.1041,-113.5841,59.0,24,0,2.44,clear sky
83,Lompoc,US,2021-04-18 15:50:27,34.6391,-120.4579,48.2,87,0,6.91,clear sky
84,Morondava,MG,2021-04-18 15:50:27,-20.2833,44.2833,78.13,64,39,7.94,scattered clouds
85,Yerbogachen,RU,2021-04-18 15:50:28,61.2767,108.0108,7.18,94,93,3.36,overcast clouds
86,Kaitangata,NZ,2021-04-18 15:50:28,-46.2817,169.8464,60.01,47,66,8.99,broken clouds
87,Krasnyy Chikoy,RU,2021-04-18 15:50:28,50.3643,108.7512,29.46,43,72,1.99,broken clouds
88,Thompson,CA,2021-04-18 15:50:28,55.7435,-97.8558,19.4,58,20,10.36,few clouds
89,Kieta,PG,2021-04-18 15:50:29,-6.2167,155.6333,78.84,80,41,3.78,scattered clouds
90,San Vicente,AR,2021-04-18 15:50:29,-26.6167,-54.1333,80.69,37,2,3.53,light rain
91,Mahebourg,MU,2021-04-18 15:50:29,-20.4081,57.7,75.2,94,75,16.11,light rain
92,Dikson,RU,2021-04-18 15:50:30,73.5069,80.5464,-3.98,100,98,4.65,overcast clouds
93,Vostok,RU,2021-04-18 15:50:30,46.4856,135.8833,32.54,91,81,3.4,broken clouds
94,Chuy,UY,2021-04-18 15:50:30,-33.6971,-53.4616,73.76,60,15,9.66,few clouds
95,Avarua,CK,2021-04-18 15:50:31,-21.2078,-159.775,77.0,83,48,6.91,light rain
96,Mataura,NZ,2021-04-18 15:50:31,-46.1927,168.8643,54.0,86,85,13.0,overcast clouds
97,Berlevag,NO,2021-04-18 15:50:31,70.8578,29.0864,41.0,75,20,17.27,few clouds
98,Atasu,KZ,2021-04-18 15:50:32,48.6814,71.6433,56.12,45,79,8.1,broken clouds
99,Capitan Bado,PY,2021-04-18 15:50:32,-23.2667,-55.5333,86.5,31,0,2.86,clear sky
100,Rawson,AR,2021-04-18 15:50:32,-43.3002,-65.1023,74.16,36,59,15.93,broken clouds
101,Gushikawa,JP,2021-04-18 15:50:32,26.3544,127.8686,64.4,77,75,5.75,broken clouds
102,Gashua,NG,2021-04-18 15:50:33,12.871,11.0482,104.49,4,56,7.67,broken clouds
103,Upernavik,GL,2021-04-18 15:50:33,72.7868,-56.1549,11.26,74,100,0.78,overcast clouds
104,Omsukchan,RU,2021-04-18 15:50:33,62.5333,155.8,7.36,94,18,3.0,few clouds
105,Sola,VU,2021-04-18 15:50:33,-13.8833,167.55,82.67,72,58,6.26,broken clouds
106,Qaqortoq,GL,2021-04-18 15:50:34,60.7167,-46.0333,30.2,27,30,6.91,scattered clouds
107,Auki,SB,2021-04-18 15:50:35,-8.7676,160.7034,77.4,87,89,3.22,overcast clouds
108,Hilo,US,2021-04-18 15:50:35,19.7297,-155.09,68.0,77,20,5.75,few clouds
109,Nishihara,JP,2021-04-18 15:50:35,26.1842,127.7558,64.4,67,20,9.22,few clouds
110,Warrington,GB,2021-04-18 15:50:36,53.3925,-2.5802,62.01,39,20,3.44,few clouds
111,Luderitz,NA,2021-04-18 15:50:36,-26.6481,15.1594,79.38,44,24,4.03,few clouds
112,Macau,MO,2021-04-18 15:50:36,22.2006,113.5461,73.4,78,40,18.41,scattered clouds
113,Pacific Grove,US,2021-04-18 15:50:36,36.6177,-121.9166,51.8,82,75,8.52,broken clouds
114,Millet,CA,2021-04-18 15:50:37,53.1001,-113.4687,32.0,74,100,9.22,overcast clouds
