City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Antofagasta,CL,72.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
144,Inhambane,MZ,75.2,few clouds,-23.865,35.3833,Oceano
147,Hami,CN,65.23,few clouds,42.8,93.45,Laoyutang Resort
151,Cockburn Town,TC,82.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
153,Mahina,PF,77.0,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
156,Jamame,SO,83.34,broken clouds,0.0722,42.7506,
159,Cap Malheureux,MU,77.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
161,Alta Floresta,BR,82.4,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
162,Tura,IN,69.31,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
164,Mogadishu,SO,83.75,overcast clouds,2.0371,45.3438,Hotel Juba
165,Tibagi,BR,75.34,broken clouds,-24.5094,-50.4136,Hotel Formigas na Figueira
168,Kilosa,TZ,69.4,overcast clouds,-6.8333,36.9833,New Bondeni Hotel
169,General Pico,AR,78.12,overcast clouds,-35.6566,-63.7568,Hotel Malargue
170,Ipixuna,BR,80.6,moderate rain,-1.7625,-48.8043,Casa da Oscarina
171,Sao Filipe,CV,73.8,clear sky,14.8961,-24.4956,Tortuga B&B
173,Taoudenni,ML,96.49,clear sky,22.6783,-3.9836,
175,Nouakchott,MR,93.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
176,High Rock,BS,82.4,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
177,Bokoro,TD,106.12,broken clouds,12.3807,17.0568,
178,Ugoofaaru,MV,84.61,scattered clouds,5.6667,73.0,Ungoofaaru Inn
181,Pisco,PE,69.8,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
183,Amahai,ID,78.49,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
184,Dicabisagan,PH,74.8,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
189,Mollendo,PE,71.37,scattered clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
190,Puerto Narino,CO,73.4,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
196,East London,ZA,78.8,clear sky,-33.0153,27.9116,Tu Casa
201,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
202,Vila,PT,68.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
203,Vikarabad,IN,84.2,few clouds,17.3333,77.9,Hotel PRINCE DELUXE LODGE
205,Bull Savanna,JM,83.77,scattered clouds,17.8868,-77.5902,Big Red's
206,Hermanus,ZA,73.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
207,Teguise,ES,73.4,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
